date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts,Season,Team
2019-08-11 16:30:00,4,8,0,a,1,4,1.09534,1.61326,-0.51792,"{'att': 271, 'def': 42}","{'att': 281, 'def': 31}",0,l,0,0,1.09534,2.37442,0.4992,2019_2020,Chelsea
2019-08-18 16:30:00,4,5,1,h,0,1,1.22629,0.947941,0.278349,"{'att': 275, 'def': 26}","{'att': 233, 'def': 37}",1,d,1,0,1.22629,0.947941,1.6181,2019_2020,Chelsea
2019-08-24 12:30:00,12,5,0,a,0,2,1.89428,1.07904,0.81524,"{'att': 302, 'def': 22}","{'att': 290, 'def': 29}",3,w,3,1,1.89428,1.07904,1.9533,2019_2020,Chelsea
2019-08-31 15:00:00,4,5,1,h,0,2,2.30579,1.04649,1.2593,"{'att': 253, 'def': 17}","{'att': 502, 'def': 24}",1,d,2,0,2.30579,1.04649,2.2781,2019_2020,Chelsea
2019-09-14 14:00:00,6,5,0,a,0,2,3.06799,1.49359,1.5744,"{'att': 213, 'def': 30}","{'att': 367, 'def': 28}",3,w,5,1,3.06799,1.49359,2.4323,2019_2020,Chelsea
2019-09-22 15:30:00,5,5,0,h,1,2,1.23321,1.03003,0.20318,"{'att': 186, 'def': 16}","{'att': 277, 'def': 35}",0,l,1,0,1.23321,1.03003,1.5191,2019_2020,Chelsea
2019-09-28 14:00:00,9,0,0,h,0,0,3.50326,0.616263,2.886997,"{'att': 349, 'def': 24}","{'att': 332, 'def': 26}",3,w,2,1,4.26443,0.616263,2.9361,2019_2020,Chelsea
2019-10-06 14:00:00,10,5,0,a,0,1,2.15201,1.27044,0.88157,"{'att': 211, 'def': 19}","{'att': 283, 'def': 26}",3,w,4,1,2.15201,1.27044,2.0187,2019_2020,Chelsea
2019-10-19 15:00:00,12,1,0,h,0,0,2.30068,0.197082,2.103598,"{'att': 107, 'def': 23}","{'att': 329, 'def': 14}",3,w,1,1,2.30068,0.197082,2.774,2019_2020,Chelsea
2019-10-26 17:30:00,6,8,0,a,0,2,0.988321,2.23494,-1.246619,"{'att': 199, 'def': 19}","{'att': 399, 'def': 25}",3,w,4,1,0.988321,2.23494,0.495,2019_2020,Chelsea
2019-11-02 17:30:00,8,6,0,a,0,1,2.18313,0.713228,1.469902,"{'att': 214, 'def': 19}","{'att': 505, 'def': 25}",3,w,2,1,2.18313,1.4744,1.8825,2019_2020,Chelsea
2019-11-09 12:30:00,11,3,0,h,0,0,3.28903,0.479488,2.809542,"{'att': 217, 'def': 28}","{'att': 320, 'def': 23}",3,w,2,1,3.28903,0.479488,2.875,2019_2020,Chelsea
2019-11-23 17:30:00,6,14,0,a,1,2,0.820474,1.23596,-0.415486,"{'att': 354, 'def': 19}","{'att': 441, 'def': 27}",0,l,1,0,0.820474,1.23596,0.9977,2019_2020,Chelsea
2019-11-30 15:00:00,6,3,0,h,1,1,2.73185,1.12034,1.61151,"{'att': 159, 'def': 14}","{'att': 381, 'def': 34}",0,l,0,0,2.73185,1.12034,2.451,2019_2020,Chelsea
2019-12-04 19:30:00,14,2,0,h,0,1,1.9774,0.86086,1.11654,"{'att': 181, 'def': 26}","{'att': 389, 'def': 28}",3,w,2,1,1.9774,0.86086,2.1674,2019_2020,Chelsea
2019-12-07 12:30:00,17,5,0,a,1,3,1.25734,2.03892,-0.78158,"{'att': 83, 'def': 18}","{'att': 350, 'def': 39}",0,l,1,0,1.25734,2.03892,0.8073,2019_2020,Chelsea
2019-12-14 15:00:00,6,3,0,h,1,1,2.02119,1.20777,0.81342,"{'att': 136, 'def': 30}","{'att': 327, 'def': 19}",0,l,0,0,2.02119,1.20777,1.9274,2019_2020,Chelsea
2019-12-22 16:30:00,8,7,0,a,0,0,0.732575,0.276667,0.455908,"{'att': 260, 'def': 25}","{'att': 294, 'def': 23}",3,w,2,1,1.49374,0.276667,2.4938,2019_2020,Chelsea
2019-12-26 15:00:00,10,2,0,h,1,2,0.859973,0.981321,-0.121348,"{'att': 184, 'def': 36}","{'att': 351, 'def': 28}",0,l,0,0,0.859973,0.981321,1.1896,2019_2020,Chelsea
2019-12-29 14:00:00,8,7,0,a,0,1,1.49666,0.785214,0.711446,"{'att': 262, 'def': 38}","{'att': 323, 'def': 23}",3,w,2,1,1.49666,0.785214,1.968,2019_2020,Chelsea
2020-01-01 12:30:00,7,10,1,a,0,1,1.57497,1.56978,0.00519,"{'att': 273, 'def': 32}","{'att': 328, 'def': 27}",1,d,1,0,1.57497,1.56978,1.3333,2019_2020,Chelsea
2020-01-11 15:00:00,10,1,0,h,0,0,2.11516,0.717407,1.397753,"{'att': 163, 'def': 17}","{'att': 317, 'def': 11}",3,w,3,1,2.87633,0.717407,2.7319,2019_2020,Chelsea
2020-01-18 17:30:00,11,3,0,a,1,1,2.05436,0.892988,1.161372,"{'att': 127, 'def': 30}","{'att': 256, 'def': 11}",0,l,0,0,2.05436,0.892988,2.2278,2019_2020,Chelsea
2020-01-21 20:15:00,21,2,1,h,0,2,2.62495,0.568077,2.056873,"{'att': 233, 'def': 28}","{'att': 260, 'def': 12}",1,d,2,0,3.38612,0.568077,2.899,2019_2020,Chelsea
2020-02-01 12:30:00,8,5,1,a,0,2,0.806995,1.65956,-0.852565,"{'att': 278, 'def': 19}","{'att': 259, 'def': 33}",1,d,2,0,0.806995,1.65956,0.7105,2019_2020,Chelsea
2020-02-17 20:00:00,11,2,0,h,1,2,0.940204,0.681814,0.25839,"{'att': 215, 'def': 24}","{'att': 365, 'def': 28}",0,l,0,0,0.940204,0.681814,1.5236,2019_2020,Chelsea
2020-02-22 12:30:00,5,1,0,h,0,1,1.78193,0.265879,1.516051,"{'att': 354, 'def': 47}","{'att': 341, 'def': 31}",3,w,2,1,1.78193,0.265879,2.612,2019_2020,Chelsea
2020-02-29 15:00:00,14,4,1,a,0,2,1.98271,1.58495,0.39776,"{'att': 142, 'def': 26}","{'att': 448, 'def': 26}",1,d,2,0,1.98271,1.58495,1.6807,2019_2020,Chelsea
2020-03-08 14:00:00,9,3,0,h,0,0,2.02883,0.445922,1.582908,"{'att': 267, 'def': 21}","{'att': 439, 'def': 23}",3,w,4,1,2.02883,0.445922,2.5452,2019_2020,Chelsea
2020-06-21 15:15:00,10,0,0,a,0,1,1.14011,1.57223,-0.43212,"{'att': 98, 'def': 16}","{'att': 336, 'def': 15}",3,w,2,1,1.14011,1.57223,0.9417,2019_2020,Chelsea
2020-06-25 19:15:00,7,10,0,h,0,1,3.44483,0.690594,2.754236,"{'att': 391, 'def': 13}","{'att': 250, 'def': 11}",3,w,2,1,4.206,0.690594,2.9477,2019_2020,Chelsea
2020-07-01 19:15:00,8,7,0,a,1,3,0.814917,2.10497,-1.290053,"{'att': 123, 'def': 19}","{'att': 357, 'def': 17}",0,l,2,0,1.57609,2.10497,0.9429,2019_2020,Chelsea
2020-07-04 19:00:00,9,3,0,h,0,0,2.0276,0.608971,1.418629,"{'att': 179, 'def': 16}","{'att': 429, 'def': 17}",3,w,3,1,2.78877,0.608971,2.7356,2019_2020,Chelsea
2020-07-07 17:00:00,8,7,0,a,0,2,2.65753,1.2882,1.36933,"{'att': 192, 'def': 26}","{'att': 336, 'def': 24}",3,w,3,1,2.65753,1.2882,2.3234,2019_2020,Chelsea
2020-07-11 16:30:00,3,5,0,a,1,3,1.17509,2.00632,-0.83123,"{'att': 71, 'def': 15}","{'att': 505, 'def': 11}",0,l,0,0,1.17509,2.00632,0.7264,2019_2020,Chelsea
2020-07-14 19:15:00,9,0,0,h,0,0,3.05119,0.0631109,2.9880791,"{'att': 239, 'def': 30}","{'att': 443, 'def': 16}",3,w,1,1,3.05119,0.0631109,2.9404,2019_2020,Chelsea
2020-07-22 19:15:00,3,5,0,a,1,5,2.38205,1.45179,0.93026,"{'att': 354, 'def': 24}","{'att': 363, 'def': 30}",0,l,3,0,2.38205,1.45179,2.1068,2019_2020,Chelsea
2020-07-26 15:00:00,7,2,0,h,0,0,1.15938,0.164561,0.994819,"{'att': 198, 'def': 29}","{'att': 392, 'def': 27}",3,w,2,1,1.15938,0.164561,2.2747,2019_2020,Chelsea
